epoch,S,Fw,E,MAE
30,0.8625,0.7585,0.9385,0.0260
35,0.8658,0.7597,0.9382,0.0260
40,0.8662,0.7668,0.9390,0.0251
45,0.8636,0.7647,0.9367,0.0255
50,0.8663,0.7703,0.9388,0.0253
55,0.8644,0.7705,0.9364,0.0249
60,0.8603,0.7555,0.9326,0.0267
65,0.8661,0.7745,0.9382,0.0247
70,0.8657,0.7773,0.9379,0.0245
75,0.8671,0.7742,0.9379,0.0245
80,0.8657,0.7758,0.9389,0.0246
85,0.8673,0.7770,0.9389,0.0241
90,0.8677,0.7783,0.9371,0.0246
95,0.8679,0.7817,0.9397,0.0243
100,0.8672,0.7786,0.9381,0.0239
105,0.8674,0.7796,0.9386,0.0242
110,0.8675,0.7822,0.9390,0.0241
115,0.8697,0.7831,0.9391,0.0243
120,0.8684,0.7842,0.9395,0.0237
125,0.8690,0.7858,0.9400,0.0236
130,0.8690,0.7867,0.9399,0.0236
135,0.8690,0.7868,0.9393,0.0235
140,0.8690,0.7865,0.9390,0.0236
145,0.8691,0.7868,0.9395,0.0235
150,0.8695,0.7872,0.9395,0.0236
